time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-13 00:00:00+00:00,5,5,,
2025-10-14 00:00:00+00:00,25,5,1.0,1.0
2025-10-15 00:00:00+00:00,20,7,3.0,3.0
2025-10-16 00:00:00+00:00,9,4,13.0,2.0
2025-10-17 00:00:00+00:00,8,3,8.0,5.0
2025-10-18 00:00:00+00:00,9,3,2.0,1.0
2025-10-19 00:00:00+00:00,3,3,4.0,4.0
2025-10-20 00:00:00+00:00,3,2,12.0,4.0
2025-10-21 00:00:00+00:00,3,3,10.0,5.0
2025-10-22 00:00:00+00:00,2,2,9.0,2.0
2025-10-23 00:00:00+00:00,8,3,7.0,4.0
2025-10-24 00:00:00+00:00,18,6,6.0,2.0
2025-10-25 00:00:00+00:00,11,4,2.0,1.0
2025-10-26 00:00:00+00:00,6,1,3.0,1.0
