time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-24 00:00:00+00:00,18,6,6,2
2025-10-25 00:00:00+00:00,11,4,2,1
2025-10-26 00:00:00+00:00,7,2,3,1
2025-10-27 00:00:00+00:00,9,4,3,3
2025-10-28 00:00:00+00:00,4,4,3,3
2025-10-29 00:00:00+00:00,10,4,1,1
2025-10-30 00:00:00+00:00,2,2,12,2
2025-10-31 00:00:00+00:00,12,7,20,4
2025-11-01 00:00:00+00:00,2,2,2,2
2025-11-02 00:00:00+00:00,19,4,6,1
2025-11-03 00:00:00+00:00,14,4,2,2
2025-11-04 00:00:00+00:00,6,3,5,3
2025-11-05 00:00:00+00:00,5,3,4,3
2025-11-06 00:00:00+00:00,12,4,16,4
