time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-14 00:00:00+00:00,14,5,1,1
2026-05-15 00:00:00+00:00,15,6,5,2
2026-05-16 00:00:00+00:00,27,10,0,0
2026-05-17 00:00:00+00:00,26,8,1,1
2026-05-18 00:00:00+00:00,7,3,1,1
2026-05-19 00:00:00+00:00,8,3,4,1
2026-05-20 00:00:00+00:00,2,2,8,3
2026-05-21 00:00:00+00:00,11,5,1,1
2026-05-22 00:00:00+00:00,9,5,7,2
2026-05-23 00:00:00+00:00,15,5,0,0
2026-05-24 00:00:00+00:00,27,13,0,0
2026-05-25 00:00:00+00:00,27,9,2,2
2026-05-26 00:00:00+00:00,27,12,1,1
2026-05-27 00:00:00+00:00,11,6,1,1
