time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-06 00:00:00+00:00,8,5,19,2
2026-01-07 00:00:00+00:00,2,2,2,2
2026-01-08 00:00:00+00:00,7,3,7,5
2026-01-09 00:00:00+00:00,13,9,1,1
2026-01-10 00:00:00+00:00,12,4,2,2
2026-01-11 00:00:00+00:00,7,3,2,2
2026-01-12 00:00:00+00:00,13,5,6,4
2026-01-13 00:00:00+00:00,9,5,16,4
2026-01-14 00:00:00+00:00,5,5,5,3
2026-01-15 00:00:00+00:00,4,4,1,1
2026-01-16 00:00:00+00:00,8,4,12,1
2026-01-17 00:00:00+00:00,13,5,5,4
2026-01-18 00:00:00+00:00,7,3,1,1
2026-01-19 00:00:00+00:00,2,2,15,4
