time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-29 00:00:00+00:00,4,4,11.0,3.0
2025-11-30 00:00:00+00:00,4,3,,
2025-12-01 00:00:00+00:00,38,13,9.0,3.0
2025-12-02 00:00:00+00:00,14,5,13.0,4.0
2025-12-03 00:00:00+00:00,78,18,,
2025-12-04 00:00:00+00:00,4,4,5.0,2.0
2025-12-05 00:00:00+00:00,8,7,1.0,1.0
2025-12-06 00:00:00+00:00,14,5,,
2025-12-07 00:00:00+00:00,8,3,5.0,3.0
2025-12-08 00:00:00+00:00,5,4,,
2025-12-09 00:00:00+00:00,13,8,2.0,1.0
2025-12-10 00:00:00+00:00,7,3,7.0,4.0
2025-12-11 00:00:00+00:00,9,4,4.0,3.0
2025-12-12 00:00:00+00:00,3,2,1.0,1.0
