time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-03 00:00:00+00:00,3,3,2,1
2026-06-04 00:00:00+00:00,13,8,10,4
2026-06-05 00:00:00+00:00,18,8,0,0
2026-06-06 00:00:00+00:00,35,15,0,0
2026-06-07 00:00:00+00:00,13,4,1,1
2026-06-08 00:00:00+00:00,11,5,1,1
2026-06-09 00:00:00+00:00,11,5,21,3
2026-06-10 00:00:00+00:00,22,10,8,3
2026-06-11 00:00:00+00:00,12,6,2,1
2026-06-12 00:00:00+00:00,23,8,3,2
2026-06-13 00:00:00+00:00,33,11,3,2
2026-06-14 00:00:00+00:00,25,9,2,1
2026-06-15 00:00:00+00:00,29,9,0,0
2026-06-16 00:00:00+00:00,24,10,5,4
