time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-11 00:00:00+00:00,20,8,1,1
2026-07-12 00:00:00+00:00,17,7,0,0
2026-07-13 00:00:00+00:00,21,10,2,2
2026-07-14 00:00:00+00:00,3,3,1,1
2026-07-15 00:00:00+00:00,14,5,0,0
2026-07-16 00:00:00+00:00,7,3,4,4
2026-07-17 00:00:00+00:00,2,2,2,2
2026-07-18 00:00:00+00:00,11,5,1,1
2026-07-19 00:00:00+00:00,8,4,0,0
2026-07-20 00:00:00+00:00,26,12,1,1
2026-07-21 00:00:00+00:00,21,7,2,2
2026-07-22 00:00:00+00:00,8,4,0,0
2026-07-23 00:00:00+00:00,3,3,1,1
2026-07-24 00:00:00+00:00,9,4,1,1
