time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-08 00:00:00+00:00,16,6,1,1
2026-04-09 00:00:00+00:00,14,5,2,2
2026-04-10 00:00:00+00:00,20,8,5,4
2026-04-11 00:00:00+00:00,6,5,0,0
2026-04-12 00:00:00+00:00,33,12,3,1
2026-04-13 00:00:00+00:00,23,6,3,2
2026-04-14 00:00:00+00:00,16,6,3,2
2026-04-15 00:00:00+00:00,19,6,5,1
2026-04-16 00:00:00+00:00,19,7,5,1
2026-04-17 00:00:00+00:00,31,9,3,1
2026-04-18 00:00:00+00:00,26,8,0,0
2026-04-19 00:00:00+00:00,22,12,3,3
2026-04-20 00:00:00+00:00,61,23,2,2
2026-04-21 00:00:00+00:00,53,25,4,3
