time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-27 00:00:00+00:00,1.0,1.0,25,2
2025-08-28 00:00:00+00:00,,,9,2
2025-08-29 00:00:00+00:00,1.0,1.0,5,2
2025-08-30 00:00:00+00:00,1.0,1.0,3,2
2025-08-31 00:00:00+00:00,,,3,2
2025-09-01 00:00:00+00:00,2.0,2.0,4,4
2025-09-02 00:00:00+00:00,,,11,1
2025-09-03 00:00:00+00:00,,,20,6
2025-09-04 00:00:00+00:00,2.0,2.0,5,1
2025-09-05 00:00:00+00:00,,,3,2
2025-09-06 00:00:00+00:00,1.0,1.0,7,2
2025-09-07 00:00:00+00:00,11.0,11.0,1,1
2025-09-08 00:00:00+00:00,4.0,2.0,4,1
