time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-24 00:00:00+00:00,27,13,0,0
2026-05-25 00:00:00+00:00,27,9,2,2
2026-05-26 00:00:00+00:00,27,12,1,1
2026-05-27 00:00:00+00:00,11,6,1,1
2026-05-28 00:00:00+00:00,20,9,3,3
2026-05-29 00:00:00+00:00,16,6,1,1
2026-05-30 00:00:00+00:00,31,11,1,1
2026-05-31 00:00:00+00:00,10,4,8,2
2026-06-01 00:00:00+00:00,2,1,4,3
2026-06-02 00:00:00+00:00,14,7,3,1
2026-06-03 00:00:00+00:00,3,3,2,1
2026-06-04 00:00:00+00:00,13,8,10,4
2026-06-05 00:00:00+00:00,18,8,0,0
2026-06-06 00:00:00+00:00,35,15,0,0
