url_path,views_total,views_unique
/edanya-uma/Tsunami-HySEA,22,15
/edanya-uma/Tsunami-HySEA/tree/main,11,4
/edanya-uma/Tsunami-HySEA/tree/main/src,7,3
/edanya-uma/Tsunami-HySEA/tree/main/Mediterranean,6,5
/edanya-uma/Tsunami-HySEA/blob/main/Mediterranean/mediterranean.txt,2,2
/edanya-uma/Tsunami-HySEA/tree/main/src/GPU,2,2
/edanya-uma/Tsunami-HySEA/tree/main/.github/workflows,2,1
/edanya-uma/Tsunami-HySEA/blame/main/Mediterranean/mediterranean.txt,1,1
/edanya-uma/Tsunami-HySEA/blob/github-repo-stats/edanya-uma/Tsunami-HySEA/latest-report/report.pdf,1,1
/edanya-uma/Tsunami-HySEA/blob/github-repo-stats/edanya-uma/Tsunami-HySEA/latest-report/report_for_pdf.html,1,1
