time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-03 00:00:00+00:00,13,6,3,3
2026-05-04 00:00:00+00:00,32,9,3,2
2026-05-05 00:00:00+00:00,33,7,4,3
2026-05-06 00:00:00+00:00,27,9,2,1
2026-05-07 00:00:00+00:00,17,7,5,3
2026-05-08 00:00:00+00:00,12,6,3,2
2026-05-09 00:00:00+00:00,8,3,6,2
2026-05-10 00:00:00+00:00,16,6,0,0
2026-05-11 00:00:00+00:00,32,10,1,1
2026-05-12 00:00:00+00:00,20,5,3,2
2026-05-13 00:00:00+00:00,21,6,0,0
2026-05-14 00:00:00+00:00,14,5,1,1
2026-05-15 00:00:00+00:00,15,6,5,2
2026-05-16 00:00:00+00:00,27,10,0,0
