time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-22 00:00:00+00:00,12,7,43,4
2026-01-23 00:00:00+00:00,3,3,39,5
2026-01-24 00:00:00+00:00,7,5,11,2
2026-01-25 00:00:00+00:00,16,7,8,3
2026-01-26 00:00:00+00:00,11,6,2,1
2026-01-27 00:00:00+00:00,16,7,5,3
2026-01-28 00:00:00+00:00,15,6,3,3
2026-01-29 00:00:00+00:00,15,6,13,3
2026-01-30 00:00:00+00:00,10,5,0,0
2026-01-31 00:00:00+00:00,17,8,0,0
2026-02-01 00:00:00+00:00,11,6,0,0
2026-02-02 00:00:00+00:00,18,9,2,2
2026-02-03 00:00:00+00:00,7,3,3,1
2026-02-04 00:00:00+00:00,10,5,6,2
