time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-01 00:00:00+00:00,2.0,2.0,2,2
2025-11-02 00:00:00+00:00,19.0,4.0,6,1
2025-11-03 00:00:00+00:00,14.0,4.0,2,2
2025-11-04 00:00:00+00:00,6.0,3.0,5,3
2025-11-05 00:00:00+00:00,5.0,3.0,4,3
2025-11-06 00:00:00+00:00,13.0,5.0,16,4
2025-11-07 00:00:00+00:00,8.0,3.0,2,2
2025-11-08 00:00:00+00:00,16.0,6.0,2,2
2025-11-09 00:00:00+00:00,4.0,4.0,5,3
2025-11-10 00:00:00+00:00,11.0,5.0,64,4
2025-11-11 00:00:00+00:00,5.0,5.0,36,5
2025-11-12 00:00:00+00:00,7.0,6.0,5,3
2025-11-13 00:00:00+00:00,4.0,4.0,2,2
2025-11-14 00:00:00+00:00,,,1,1
