url_path,views_total,views_unique
/edanya-uma/Tsunami-HySEA,33,22
/edanya-uma/Tsunami-HySEA/tree/main/Mediterranean,6,4
/edanya-uma/Tsunami-HySEA/tree/main,3,2
/edanya-uma/Tsunami-HySEA/blob/main/Mediterranean/mediterranean.txt,2,2
/edanya-uma/Tsunami-HySEA/issues,2,2
/edanya-uma/Tsunami-HySEA/actions,1,1
/edanya-uma/Tsunami-HySEA/blob/main/README.md,1,1
/edanya-uma/Tsunami-HySEA/pulls,1,1
/edanya-uma/Tsunami-HySEA/releases/tag/1.3.0,1,1
/edanya-uma/Tsunami-HySEA/tree/main/.github/workflows,1,1
