time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-04 00:00:00+00:00,5,3,1,1
2026-09-05 00:00:00+00:00,23,10,0,0
2026-09-06 00:00:00+00:00,4,4,14,2
2026-09-07 00:00:00+00:00,23,10,1,1
2026-09-08 00:00:00+00:00,3,2,0,0
2026-09-09 00:00:00+00:00,4,3,0,0
2026-09-10 00:00:00+00:00,5,4,15,3
2026-09-11 00:00:00+00:00,1,1,2,2
2026-09-12 00:00:00+00:00,14,8,2,1
2026-09-13 00:00:00+00:00,17,10,1,1
2026-09-14 00:00:00+00:00,25,13,15,4
2026-09-15 00:00:00+00:00,4,4,5,1
2026-09-16 00:00:00+00:00,6,5,8,4
2026-09-17 00:00:00+00:00,18,8,1,1
