time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-25 00:00:00+00:00,67,24,1,1
2026-04-26 00:00:00+00:00,51,14,1,1
2026-04-27 00:00:00+00:00,25,10,18,2
2026-04-28 00:00:00+00:00,15,4,0,0
2026-04-29 00:00:00+00:00,63,16,16,3
2026-04-30 00:00:00+00:00,18,7,8,4
2026-05-01 00:00:00+00:00,44,9,4,3
2026-05-02 00:00:00+00:00,38,10,2,2
2026-05-03 00:00:00+00:00,13,6,3,3
2026-05-04 00:00:00+00:00,32,9,3,2
2026-05-05 00:00:00+00:00,33,7,4,3
2026-05-06 00:00:00+00:00,27,9,2,1
2026-05-07 00:00:00+00:00,17,7,5,3
2026-05-08 00:00:00+00:00,12,6,3,2
