time_iso8601,stars_cumulative
2022-10-19 00:00:00+00:00,1
2022-11-01 00:00:00+00:00,2
2022-11-02 00:00:00+00:00,3
2024-01-10 00:00:00+00:00,4
2024-03-13 00:00:00+00:00,5
2024-05-30 00:00:00+00:00,6
2025-01-29 00:00:00+00:00,7
2025-02-23 00:00:00+00:00,8
2025-07-01 00:00:00+00:00,9
2025-07-09 00:00:00+00:00,10
2025-08-04 00:00:00+00:00,11
